x,y,sigma_trace,lambda_trace
5.07757,17.5332,1.23607,2.08333
5.06245,17.6281,1.23607,2.08333
5.04732,17.7231,1.23607,2.08333
5.0322,17.818,1.23607,2.08333
5.0322,17.818,1.23607,2.08333
5.00599,17.8997,1.23607,2.08333
4.97978,17.9813,1.23607,2.08333
4.95357,18.0629,1.23607,2.08333
4.95357,18.0629,1.23607,2.08333
4.97502,18.0433,1.23607,2.08333
4.99647,18.0237,1.23607,2.08333
5.01792,18.0041,1.23607,2.08333
5.03936,17.9845,1.23607,2.08333
5.03936,17.9845,1.23607,2.08333
5.05644,18.0175,1.23607,2.08333
5.07352,18.0505,1.23607,2.08333
5.0906,18.0835,1.23607,2.08333
5.10768,18.1165,1.23607,2.08333
5.12475,18.1495,1.23607,2.08333
5.12475,18.1495,1.23607,2.08333
5.2184,18.1947,1.23607,2.08333
5.09778,18.2293,1.23607,2.08333
5.09778,18.2293,1.23607,2.08333
5.08362,18.3287,1.23607,2.08333
5.08362,18.3287,1.23607,2.08333
5.09319,18.4271,1.23607,2.08333
5.10275,18.5256,1.23607,2.08333
5.11232,18.6241,1.23607,2.08333
5.11232,18.6241,1.23607,2.08333
5.13312,18.629,1.23607,2.08333
5.15392,18.6339,1.23607,2.08333
5.17472,18.6387,1.23607,2.08333
5.19553,18.6436,1.23607,2.08333
5.21633,18.6485,1.23607,2.08333
5.21633,18.6485,1.23607,2.08333
5.26897,18.6803,1.23607,2.08333
5.3216,18.712,1.23607,2.08333
5.37424,18.7438,1.23607,2.08333
5.42688,18.7755,1.23607,2.08333
5.42688,18.7755,1.23607,2.08333
5.43708,18.8736,1.23607,2.08333
5.43708,18.8736,1.23607,2.08333
5.44503,18.9507,1.23607,2.08333
5.45298,19.0279,1.23607,2.08333
5.46093,19.105,1.23607,2.08333
5.46888,19.1822,1.23607,2.08333
5.47683,19.2593,1.23607,2.08333
5.47683,19.2593,1.23607,2.08333
5.4431,19.3019,1.23607,2.08333
5.40936,19.3444,1.23607,2.08333
5.37563,19.3869,1.23607,2.08333
5.34189,19.4295,1.23607,2.08333
5.30816,19.472,1.23607,2.08333
5.30816,19.472,1.23607,2.08333
5.28942,19.5052,1.23607,2.08333
5.27069,19.5383,1.23607,2.08333
5.27069,19.5383,1.23607,2.08333
5.35308,19.5582,1.23607,2.08333
5.35308,19.5582,1.23607,2.08333
5.42263,19.5994,1.23607,2.08333
5.42263,19.5994,1.23607,2.08333
5.42336,19.69,1.23607,2.08333
5.4241,19.7806,1.23607,2.08333
5.42483,19.8712,1.23607,2.08333
5.42557,19.9618,1.23607,2.08333
5.4263,20.0523,1.23607,2.08333
5.79514,19.8027,1.23607,2.08333
5.79514,19.8027,1.23607,2.08333
5.81364,19.8557,1.23607,2.08333
5.83214,19.9086,1.23607,2.08333
5.85064,19.9616,1.23607,2.08333
5.86914,20.0145,1.23607,2.08333
5.88764,20.0675,1.23607,2.08333
5.88764,20.0675,1.23607,2.08333
5.94429,20.0504,1.23607,2.08333
6.00095,20.0332,1.23607,2.08333
6.00095,20.0332,1.23607,2.08333
6.00832,20.1138,1.23607,2.08333
6.01569,20.1944,1.23607,2.08333
6.02306,20.2749,1.23607,2.08333
6.03044,20.3555,1.23607,2.08333
6.03781,20.436,1.23607,2.08333
6.03781,20.436,1.23607,2.08333
6.13217,20.5349,1.23607,2.08333
6.22654,20.6337,1.23607,2.08333
6.3209,20.7325,1.23607,2.08333
6.41527,20.8313,1.23607,2.08333
6.41527,20.8313,1.23607,2.08333
6.45808,20.8185,1.23607,2.08333
6.45808,20.8185,1.23607,2.08333
6.47463,20.9123,1.23607,2.08333
6.49119,21.0062,1.23607,2.08333
6.50774,21.1,1.23607,2.08333
6.50774,21.1,1.23607,2.08333
6.5986,21.1041,1.23607,2.08333
6.68946,21.1082,1.23607,2.08333
6.68946,21.1082,1.23607,2.08333
6.76129,21.1782,1.23607,2.08333
6.83311,21.2483,1.23607,2.08333
6.90494,21.3184,1.23607,2.08333
6.90494,21.3184,1.23607,2.08333
6.97472,21.2515,1.23607,2.08333
6.97472,21.2515,1.23607,2.08333
7.04172,21.3283,1.23607,2.08333
7.10872,21.4051,1.23607,2.08333
7.17572,21.4819,1.23607,2.08333
7.17572,21.4819,1.23607,2.08333
7.21141,21.4336,1.23607,2.08333
7.2471,21.3854,1.23607,2.08333
7.2471,21.3854,1.23607,2.08333
7.25245,21.4784,1.23607,2.08333
7.25781,21.5714,1.23607,2.08333
7.25781,21.5714,1.23607,2.08333
7.32204,21.6633,1.23607,2.08333
7.32204,21.6633,1.23607,2.08333
7.31519,21.725,1.23607,2.08333
7.30833,21.7867,1.23607,2.08333
7.30833,21.7867,1.23607,2.08333
7.33709,21.7496,1.23607,2.08333
7.33709,21.7496,1.23607,2.08333
7.38411,21.8289,1.23607,2.08333
7.43113,21.9082,1.23607,2.08333
7.43113,21.9082,1.23607,2.08333
7.52859,21.9959,1.23607,2.08333
7.52859,21.9959,1.23607,2.08333
7.56346,22.049,1.23607,2.08333
7.59834,22.1021,1.23607,2.08333
7.63322,22.1552,1.23607,2.08333
7.63322,22.1552,1.23607,2.08333
7.65198,22.1402,1.23607,2.08333
7.67075,22.1251,1.23607,2.08333
7.68952,22.11,1.23607,2.08333
7.70829,22.0949,1.23607,2.08333
7.70829,22.0949,1.23607,2.08333
7.73471,22.1752,1.23607,2.08333
7.76113,22.2554,1.23607,2.08333
7.76113,22.2554,1.23607,2.08333
7.85412,22.2079,1.23607,2.08333
7.94712,22.1605,1.23607,2.08333
8.04011,22.113,1.23607,2.08333
8.13311,22.0656,1.23607,2.08333
8.13311,22.0656,1.23607,2.08333
8.23021,22.0698,1.23607,2.08333
8.32732,22.0741,1.23607,2.08333
8.42442,22.0784,1.23607,2.08333
8.42442,22.0784,1.23607,2.08333
8.39402,22.1079,1.23607,2.08333
8.36362,22.1375,1.23607,2.08333
8.33323,22.167,1.23607,2.08333
8.30283,22.1965,1.23607,2.08333
8.30283,22.1965,1.23607,2.08333
8.27928,22.2929,1.23607,2.08333
8.25573,22.3893,1.23607,2.08333
8.23218,22.4856,1.23607,2.08333
8.20863,22.582,1.23607,2.08333
8.20863,22.582,1.23607,2.08333
8.26423,22.5591,1.23607,2.08333
8.31982,22.5361,1.23607,2.08333
8.31982,22.5361,1.23607,2.08333
8.35797,22.5269,1.23607,2.08333
8.39611,22.5177,1.23607,2.08333
8.43425,22.5084,1.23607,2.08333
8.47239,22.4992,1.23607,2.08333
8.47239,22.4992,1.23607,2.08333
8.55259,22.4737,1.23607,2.08333
8.55259,22.4737,1.23607,2.08333
8.60841,22.5196,1.23607,2.08333
8.66424,22.5655,1.23607,2.08333
8.72006,22.6114,1.23607,2.08333
8.77588,22.6573,1.23607,2.08333
8.8317,22.7032,1.23607,2.08333
8.8317,22.7032,1.23607,2.08333
8.84015,22.7049,1.23607,2.08333
8.8486,22.7067,1.23607,2.08333
8.85705,22.7085,1.23607,2.08333
8.8655,22.7103,1.23607,2.08333
8.8655,22.7103,1.23607,2.08333
8.93405,22.6316,1.23607,2.08333
8.93405,22.6316,1.23607,2.08333
8.91517,22.7141,1.23607,2.08333
8.91517,22.7141,1.23607,2.08333
8.93157,22.7243,1.23607,2.08333
8.94798,22.7345,1.23607,2.08333
8.96438,22.7447,1.23607,2.08333
8.98078,22.7549,1.23607,2.08333
8.98078,22.7549,1.23607,2.08333
9.03798,22.7989,1.23607,2.08333
9.09518,22.8429,1.23607,2.08333
9.09518,22.8429,1.23607,2.08333
9.13808,22.8469,1.23607,2.08333
9.18099,22.851,1.23607,2.08333
9.22389,22.855,1.23607,2.08333
9.2668,22.859,1.23607,2.08333
9.2668,22.859,1.23607,2.08333
9.33089,22.8176,1.23607,2.08333
9.39497,22.7762,1.23607,2.08333
9.45906,22.7347,1.23607,2.08333
9.52315,22.6933,1.23607,2.08333
9.58724,22.6519,1.23607,2.08333
9.58724,22.6519,1.23607,2.08333
9.65652,22.6278,1.23607,2.08333
9.72581,22.6038,1.23607,2.08333
9.79509,22.5797,1.23607,2.08333
9.79509,22.5797,1.23607,2.08333
9.87923,22.5126,1.23607,2.08333
9.96337,22.4456,1.23607,2.08333
10.0475,22.3785,1.23607,2.08333
10.1316,22.3115,1.23607,2.08333
10.1316,22.3115,1.23607,2.08333
10.1306,22.3073,1.23607,2.08333
10.1296,22.303,1.23607,2.08333
10.1285,22.2988,1.23607,2.08333
10.1275,22.2945,1.23607,2.08333
10.1275,22.2945,1.23607,2.08333
10.16,22.3494,1.23607,2.08333
10.16,22.3494,1.23607,2.08333
10.1926,22.3847,1.23607,2.08333
10.2252,22.42,1.23607,2.08333
10.2578,22.4553,1.23607,2.08333
10.2578,22.4553,1.23607,2.08333
10.3578,22.4612,1.23607,2.08333
10.3578,22.4612,1.23607,2.08333
10.4043,22.5499,1.23607,2.08333
10.4043,22.5499,1.23607,2.08333
10.3468,22.6398,1.23607,2.08333
10.2893,22.7297,1.23607,2.08333
10.2318,22.8196,1.23607,2.08333
10.2318,22.8196,1.23607,2.08333
10.2478,22.8399,1.23607,2.08333
10.2638,22.8602,1.23607,2.08333
10.2797,22.8804,1.23607,2.08333
10.2957,22.9007,1.23607,2.08333
10.3116,22.921,1.23607,2.08333
10.3116,22.921,1.23607,2.08333
10.337,22.9487,1.23607,2.08333
10.337,22.9487,1.23607,2.08333
10.4009,22.9041,1.23607,2.08333
10.4648,22.8595,1.23607,2.08333
10.5287,22.815,1.23607,2.08333
10.5926,22.7704,1.23607,2.08333
10.5926,22.7704,1.23607,2.08333
10.6627,22.7962,1.23607,2.08333
10.7329,22.822,1.23607,2.08333
10.8031,22.8479,1.23607,2.08333
10.8733,22.8737,1.23607,2.08333
10.8733,22.8737,1.23607,2.08333
10.9608,22.8542,1.23607,2.08333
11.0483,22.8347,1.23607,2.08333
11.1358,22.8153,1.23607,2.08333
11.2233,22.7958,1.23607,2.08333
11.2233,22.7958,1.23607,2.08333
11.2959,22.8541,1.23607,2.08333
11.3684,22.9124,1.23607,2.08333
11.3684,22.9124,1.23607,2.08333
11.4464,22.9801,1.23607,2.08333
11.4464,22.9801,1.23607,2.08333
11.5204,22.9468,1.23607,2.08333
11.5944,22.9135,1.23607,2.08333
11.6684,22.8801,1.23607,2.08333
11.7425,22.8468,1.23607,2.08333
11.8165,22.8135,1.23607,2.08333
11.8165,22.8135,1.23607,2.08333
11.9008,22.8307,1.23607,2.08333
11.9851,22.848,1.23607,2.08333
12.0695,22.8652,1.23607,2.08333
12.0695,22.8652,1.23607,2.08333
12.14,22.8659,1.23607,2.08333
12.2105,22.8666,1.23607,2.08333
12.281,22.8673,1.23607,2.08333
12.3516,22.868,1.23607,2.08333
12.4221,22.8687,1.23607,2.08333
12.4221,22.8687,1.23607,2.08333
12.4798,22.9212,1.23607,2.08333
12.5375,22.9738,1.23607,2.08333
12.5952,23.0264,1.23607,2.08333
12.653,23.079,1.23607,2.08333
12.653,23.079,1.23607,2.08333
12.7064,23.0995,1.23607,2.08333
12.7598,23.1201,1.23607,2.08333
12.8132,23.1407,1.23607,2.08333
12.8132,23.1407,1.23607,2.08333
12.8995,23.1187,1.23607,2.08333
12.9857,23.0966,1.23607,2.08333
13.0719,23.0746,1.23607,2.08333
13.1581,23.0526,1.23607,2.08333
13.2443,23.0305,1.23607,2.08333
13.2443,23.0305,1.23607,2.08333
13.3062,22.9362,1.23607,2.08333
13.3681,22.8419,1.23607,2.08333
13.4299,22.7476,1.23607,2.08333
13.4918,22.6533,1.23607,2.08333
13.4918,22.6533,1.23607,2.08333
13.5429,22.5752,1.23607,2.08333
13.5941,22.4972,1.23607,2.08333
13.6453,22.4191,1.23607,2.08333
13.6965,22.3411,1.23607,2.08333
13.7476,22.263,1.23607,2.08333
13.7476,22.263,1.23607,2.08333
13.8264,22.2434,1.23607,2.08333
13.9052,22.2237,1.23607,2.08333
13.984,22.204,1.23607,2.08333
14.0628,22.1844,1.23607,2.08333
14.0628,22.1844,1.23607,2.08333
14.0742,22.2087,1.23607,2.08333
14.0855,22.233,1.23607,2.08333
14.0969,22.2574,1.23607,2.08333
14.0969,22.2574,1.23607,2.08333
14.1165,22.325,1.23607,2.08333
14.1361,22.3926,1.23607,2.08333
14.1557,22.4602,1.23607,2.08333
14.1753,22.5279,1.23607,2.08333
14.1949,22.5955,1.23607,2.08333
14.1949,22.5955,1.23607,2.08333
14.2244,22.5182,1.23607,2.08333
14.2538,22.441,1.23607,2.08333
14.2833,22.3637,1.23607,2.08333
14.3127,22.2865,1.23607,2.08333
14.3127,22.2865,1.23607,2.08333
14.3925,22.3794,1.23607,2.08333
14.4723,22.4723,1.23607,2.08333
14.4723,22.4723,1.23607,2.08333
14.5634,22.572,1.23607,2.08333
14.6545,22.6716,1.23607,2.08333
14.7456,22.7713,1.23607,2.08333
14.8367,22.8709,1.23607,2.08333
14.9278,22.9706,1.23607,2.08333
14.9278,22.9706,1.23607,2.08333
14.9558,22.9808,1.23607,2.08333
14.9838,22.9909,1.23607,2.08333
15.0118,23.0011,1.23607,2.08333
15.0398,23.0113,1.23607,2.08333
15.0398,23.0113,1.23607,2.08333
15.0625,23.0828,1.23607,2.08333
15.0852,23.1543,1.23607,2.08333
15.1079,23.2259,1.23607,2.08333
15.1306,23.2974,1.23607,2.08333
15.1533,23.3689,1.23607,2.08333
15.1533,23.3689,1.23607,2.08333
15.1818,23.4108,1.23607,2.08333
15.1818,23.4108,1.23607,2.08333
15.238,23.4178,1.23607,2.08333
